city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
5,0.738919260974546,1,0,3,0,5,21,8,6,0,-0.4889845970761576,1
77,-0.4284097559997532,1,1,3,0,5,6,3,5,4,-0.30582494321472353,0
64,-1.66059038502818,3,1,0,0,5,15,8,6,6,0.29360665124087887,0
14,-0.3230258864117955,3,1,2,0,1,20,8,5,6,-0.22257055509588985,1
50,-0.5013678195606469,1,0,3,2,5,21,3,1,3,-0.9552091705416261,0
57,-0.5256871740809448,3,0,1,0,5,2,8,6,0,-0.6887951285613584,1
49,0.738919260974546,1,0,3,1,6,15,3,1,0,-0.6887951285613584,0
83,-0.5419000770944767,1,0,3,0,5,4,6,5,4,-0.7887003943039588,1
5,0.738919260974546,1,0,3,0,5,17,3,5,0,-0.32247582083849025,1
5,0.738919260974546,3,0,3,0,5,8,2,5,4,0.9596417561915482,0
64,-1.66059038502818,3,1,0,1,6,11,8,6,6,-0.5555881075712246,1
5,0.738919260974546,1,0,3,0,5,15,5,5,0,0.7098785918350472,0
91,0.6821741004271842,1,0,3,0,5,21,1,5,2,-0.7054460061851251,0
64,-1.66059038502818,1,1,2,5,6,11,8,6,6,-0.6887951285613584,0
64,-1.66059038502818,3,1,0,1,6,15,8,6,6,-0.655493373313825,0
13,0.7875579700151418,1,0,3,0,5,7,7,5,4,-0.7887003943039588,0
5,0.738919260974546,3,0,3,0,5,0,3,5,6,0.6765768365875138,0
64,-1.66059038502818,3,0,3,0,5,11,5,5,1,-0.9718600481653928,0
64,-1.66059038502818,3,0,3,0,5,17,2,5,6,-0.7054460061851251,1
26,-0.01498072915468945,0,0,3,0,0,14,8,6,0,1.1094996548054488,1
47,0.11472249495356611,1,0,3,2,5,2,0,5,0,0.04384348688437787,0
13,0.7875579700151418,1,0,3,2,5,2,0,5,1,-0.25587231034342334,0
4,-0.20142911381030593,3,0,3,2,5,1,8,6,0,-0.2891740655909568,0
77,-0.4284097559997532,1,0,3,0,2,20,1,5,0,-0.006109145986922327,0
64,-1.66059038502818,3,0,3,0,5,15,1,5,0,-0.8719547824227925,0
95,0.2119999130347578,3,1,3,1,6,14,8,6,6,-0.7220968838088918,0
64,-1.66059038502818,3,0,1,0,5,5,4,5,0,1.3759136967857166,1
5,0.738919260974546,1,0,3,0,0,15,8,6,1,0.11044699737944481,0
2,0.4714063612512689,1,0,3,1,6,2,6,5,0,-0.9552091705416261,1
64,-1.66059038502818,1,0,3,0,5,9,3,1,1,0.04384348688437787,1
5,0.738919260974546,1,0,3,0,5,21,0,5,2,-0.42238108658109064,0
5,0.738919260974546,1,0,1,0,5,10,5,5,4,1.2593575534193495,0
5,0.738919260974546,0,1,0,0,5,15,8,6,0,-0.6887951285613584,0
49,0.738919260974546,0,0,3,0,5,21,0,5,4,0.27695577361711216,0
48,0.6578547459068863,1,0,3,0,1,3,5,5,2,1.3259610639144164,0
5,0.738919260974546,1,0,3,0,5,1,7,0,1,2.341664598964187,0
13,0.7875579700151418,1,1,1,1,6,0,2,3,0,1.4425172072807835,0
13,0.7875579700151418,1,0,3,3,5,21,0,5,3,-0.3890793313335572,1
5,0.738919260974546,3,1,3,0,5,3,8,6,3,-0.25587231034342334,0
99,0.447087006730971,1,1,3,5,6,13,8,6,6,0.6765768365875138,0
13,0.7875579700151418,0,0,0,2,5,7,1,4,1,-0.8553039047990257,0
6,0.7713450670016099,1,0,3,1,6,14,7,5,1,-0.4889845970761576,0
64,-1.66059038502818,3,0,3,2,5,16,3,0,0,0.7764821023301142,1
93,-1.3201194217440093,3,1,3,0,3,19,3,5,6,0.7098785918350472,0
64,-1.66059038502818,1,0,1,2,5,19,5,5,2,-0.9718600481653928,1
64,-1.66059038502818,0,1,0,2,5,15,8,6,6,-0.655493373313825,1
64,-1.66059038502818,1,0,3,0,5,15,0,5,6,0.36021016173594583,1
5,0.738919260974546,2,0,3,0,5,10,2,4,3,-0.22257055509588985,1
3,-2.1956161844747335,1,0,3,0,3,6,8,6,4,-0.7553986390564253,1
112,0.763238615494844,1,0,3,0,5,2,7,5,0,-0.7387477614326586,0
3,-2.1956161844747335,1,1,3,0,5,14,8,6,0,0.44346454985477946,1
93,-1.3201194217440093,1,0,3,0,5,1,0,5,1,0.6099733260924468,0
7,-0.28249362887796564,1,1,3,0,2,15,2,5,4,-0.655493373313825,0
6,0.7713450670016099,3,0,3,2,5,13,6,0,1,-0.9718600481653928,0
13,0.7875579700151418,1,1,0,1,6,14,2,5,0,-0.37242845370979044,0
6,0.7713450670016099,1,0,3,0,5,21,0,5,0,-0.339126698462257,0
101,-0.6067516891486046,1,0,0,0,5,11,3,0,1,-0.22257055509588985,0
5,0.738919260974546,1,0,3,0,5,21,8,6,1,-0.7720495166801921,0
64,-1.66059038502818,3,0,0,0,5,11,7,1,5,-0.5555881075712246,1
50,-0.5013678195606469,1,0,3,0,2,21,0,5,4,-0.655493373313825,1
95,0.2119999130347578,1,0,1,0,5,16,8,6,0,0.41016279460724603,0
103,0.8929418396030986,1,0,3,0,5,16,0,5,2,-0.6721442509375917,0
78,-0.01498072915468945,3,0,2,2,5,4,6,6,0,-0.838653027175259,0
2,0.4714063612512689,1,0,3,2,2,21,0,5,4,-0.2891740655909568,0
11,-2.2604677965288613,3,1,0,1,6,13,8,6,5,0.5433698155973798,0
118,0.2930644281024175,1,0,3,0,5,1,3,5,1,1.2760084310431161,1
95,0.2119999130347578,2,1,3,2,2,14,2,5,3,-0.8719547824227925,0
48,0.6578547459068863,1,0,3,0,5,6,8,6,4,-0.30582494321472353,0
48,0.6578547459068863,0,0,3,2,2,5,4,4,0,-0.6221916180662914,0
116,-1.060712973527499,3,1,2,5,6,11,8,5,6,2.7079839066870552,1
93,-1.3201194217440093,1,0,3,0,5,21,8,6,3,-0.7220968838088918,0
64,-1.66059038502818,1,1,0,0,5,20,8,6,6,-0.7887003943039588,1
26,-0.01498072915468945,1,0,3,0,5,11,7,5,0,-0.6055407404425247,0
95,0.2119999130347578,1,0,3,2,5,15,0,6,0,-0.32247582083849025,0
11,-2.2604677965288613,3,1,0,0,5,20,8,6,6,-0.8886056600465592,0
5,0.738919260974546,3,0,3,0,5,15,0,5,1,-0.8053512719277255,0
74,0.5200450702918648,1,0,3,2,5,15,3,5,1,-0.006109145986922327,0
5,0.738919260974546,1,1,3,0,2,13,0,5,0,-0.5056354746999243,0
95,0.2119999130347578,1,1,0,0,5,19,2,5,2,-0.8553039047990257,0
5,0.738919260974546,0,0,3,2,5,11,6,0,0,-1.021812681036693,0
5,0.738919260974546,1,0,3,0,5,6,3,5,4,-0.8886056600465592,0
49,0.738919260974546,1,0,3,0,5,21,3,5,1,0.7098785918350472,0
5,0.738919260974546,1,1,3,0,5,21,8,6,0,1.1761031653005158,0
5,0.738919260974546,1,0,3,0,5,15,7,6,0,-0.6388424956900582,0
63,-0.2662807258644337,3,0,1,2,5,14,3,1,0,0.14374875262697828,0
99,0.447087006730971,1,0,3,0,5,6,7,0,0,0.34355928411217906,0
89,0.3011708796091835,0,1,1,0,5,20,7,5,1,0.29360665124087887,0
5,0.738919260974546,3,1,0,1,6,14,8,6,2,0.160399630250745,0
43,-1.060712973527499,1,1,0,2,5,2,8,4,1,-0.3890793313335572,0
5,0.738919260974546,0,0,3,0,5,16,0,6,0,4.439675179558796,0
91,0.6821741004271842,1,1,0,0,5,14,8,6,5,1.2427066757955827,0
48,0.6578547459068863,1,1,3,1,6,13,8,6,6,1.9420435359937855,0
5,0.738919260974546,0,1,3,0,2,13,0,5,0,-0.8719547824227925,1
61,-1.1904161976357537,3,0,3,0,5,15,7,5,1,1.7755347597561182,1
5,0.738919260974546,3,0,3,0,5,1,0,2,0,-0.2891740655909568,0
94,-0.21764201682383788,1,0,0,0,5,19,3,5,0,-0.5389372299474577,0
49,0.738919260974546,3,1,0,1,6,11,0,5,0,1.2760084310431161,0
102,-2.0253807028326487,3,1,0,0,5,11,0,5,0,-0.522286352323691,0
94,-0.21764201682383788,1,0,3,0,5,16,3,5,1,-0.8553039047990257,1
11,-2.2604677965288613,1,0,3,0,5,16,7,5,1,-0.6388424956900582,1
11,-2.2604677965288613,1,0,3,0,5,18,0,5,0,-0.6887951285613584,1
55,0.39844829769037515,3,1,3,2,5,21,8,6,0,1.40921545203325,0
5,0.738919260974546,0,0,3,0,5,2,4,2,4,-0.7553986390564253,0
5,0.738919260974546,3,0,3,0,5,15,4,6,0,1.2427066757955827,0
48,0.6578547459068863,1,0,3,0,5,3,5,5,0,-0.22257055509588985,0
103,0.8929418396030986,1,0,3,0,5,21,3,5,1,1.5757242282709174,0
30,0.5524708763189287,1,0,3,2,5,19,5,5,1,-1.0384635586604598,0
64,-1.66059038502818,1,0,3,0,5,11,6,5,1,-1.0551144362842266,1
48,0.6578547459068863,1,0,3,0,5,21,1,5,4,-0.6221916180662914,0
101,-0.6067516891486046,1,0,3,0,4,21,8,6,3,-0.32247582083849025,0
95,0.2119999130347578,1,0,3,0,5,18,3,5,0,2.408268109459254,0
13,0.7875579700151418,1,0,3,0,5,1,6,5,0,-0.4889845970761576,0
121,0.9740063546707584,1,1,0,0,5,14,8,6,0,1.5757242282709174,1
64,-1.66059038502818,1,0,0,0,5,11,7,2,1,0.5933224484686801,0
13,0.7875579700151418,1,0,3,2,5,16,3,6,0,-0.32247582083849025,0
120,0.7794515185083759,1,0,3,0,5,21,1,5,4,-0.7720495166801921,0
64,-1.66059038502818,1,0,3,0,5,13,0,5,1,-0.655493373313825,1
116,-1.060712973527499,3,0,0,0,5,17,6,2,0,0.41016279460724603,0
85,0.5443644248121626,1,0,3,0,5,19,6,5,3,-0.10601441172952272,0
49,0.738919260974546,1,0,1,0,1,1,3,1,0,3.2408119906475905,0
64,-1.66059038502818,0,0,3,0,5,2,3,5,4,0.14374875262697828,0
48,0.6578547459068863,1,0,3,3,5,21,0,5,1,-0.7553986390564253,1
55,0.39844829769037515,1,0,3,0,5,3,0,5,1,-0.9552091705416261,0
5,0.738919260974546,1,0,3,0,5,16,0,5,0,1.0928487771816822,0
31,0.057977334406204305,1,0,0,2,5,17,8,6,0,-0.339126698462257,0
111,-1.101245231061329,1,0,0,0,5,2,7,5,1,0.7265294694588139,0
95,0.2119999130347578,1,0,3,0,2,13,0,5,0,0.07714524213191135,0
5,0.738919260974546,0,0,3,0,5,21,0,2,4,-0.8053512719277255,0
5,0.738919260974546,0,1,3,2,5,6,3,5,0,-0.2392214327196566,0
5,0.738919260974546,0,0,3,0,5,16,3,5,2,-0.089363534105756,1
74,0.5200450702918648,3,1,3,3,5,21,1,4,4,-1.021812681036693,0
13,0.7875579700151418,1,1,3,0,5,3,0,5,4,-0.9718600481653928,0
4,-0.20142911381030593,3,0,3,2,5,21,0,5,2,1.6423277387659843,0
93,-1.3201194217440093,1,0,3,0,5,12,8,6,3,3.7403383193605926,0
4,-0.20142911381030593,1,1,3,1,6,11,6,2,6,1.3259610639144164,0
5,0.738919260974546,3,1,3,3,5,22,8,6,5,0.07714524213191135,0
